line,part_number,part_number_description,images,attributes
EIK,01010BP,Bulb; Halogen; 24 Volt,"'{""eik/01010_p04_fro.jpg"",""eik/4004097-blb_01010-bp_r01_c01.jpg"",""eik/4004097-blb_01010-bp_r01_c02.jpg"",""eik/4004097-blb_01010-bp_r01_c03.jpg"",""eik/4004097-blb_01010-bp_r01_c04.jpg"",""eik/4004097-blb_01010-bp_r01_c05.jpg"",""eik/4004097-blb_01010-bp_r01_c06.jpg"",""eik/4004097-blb_01010-bp_r01_c07.jpg"",""eik/4004097-blb_01010-bp_r01_c08.jpg"",""eik/4004097-blb_01010-bp_r01_c09.jpg"",""eik/4004097-blb_01010-bp_r01_c10.jpg"",""eik/4004097-blb_01010-bp_r01_c11.jpg"",""eik/4004097-blb_01010-bp_r01_c12.jpg"",""eik/4004097-blb_01010-bp_r01_c13.jpg"",""eik/4004097-blb_01010-bp_r01_c14.jpg"",""eik/4004097-blb_01010-bp_r01_c15.jpg"",""eik/4004097-blb_01010-bp_r01_c16.jpg"",""eik/4004097-blb_01010-bp_r01_c17.jpg"",""eik/4004097-blb_01010-bp_r01_c18.jpg"",""eik/4004097-blb_01010-bp_r01_c19.jpg"",""eik/4004097-blb_01010-bp_r01_c20.jpg"",""eik/4004097-blb_01010-bp_r01_c21.jpg"",""eik/4004097-blb_01010-bp_r01_c22.jpg"",""eik/4004097-blb_01010-bp_r01_c23.jpg"",""eik/4004097-blb_01010-bp_r01_c24.jpg""}'","[{""Bulb Diameter (mm)"" : ""17mm""}, {""Light Output (Lumens)"" : ""1900 Lumen""}, {""Amperage (A)"" : ""3.1, 2.9 Amp""}, {""Voltage (V)"" : ""24 Volt""}, {""Base Type"" : ""Axial Prefocus, H4 (P43t38)""}, {""Color"" : ""Clear""}, {""Bulb Type"" : ""Halogen""}, {""Bulb Diameter (in)"" : ""5/8 Inch""}, {""Wattage (W)"" : ""70, 75 Watt""}, {""Overall Length (mm)"" : ""92mm""}, {""Overall Length (in)"" : ""3-5/8 Inch""}, {""Bulb Family"" : ""T5""}]"
EIK,01021BP,Bulb; Halogen; 12 Volt,"'{""eik/01021_p04_fro.jpg"",""eik/4004103-blb_01021-bp_r01_c01.jpg"",""eik/4004103-blb_01021-bp_r01_c02.jpg"",""eik/4004103-blb_01021-bp_r01_c03.jpg"",""eik/4004103-blb_01021-bp_r01_c04.jpg"",""eik/4004103-blb_01021-bp_r01_c05.jpg"",""eik/4004103-blb_01021-bp_r01_c06.jpg"",""eik/4004103-blb_01021-bp_r01_c07.jpg"",""eik/4004103-blb_01021-bp_r01_c08.jpg"",""eik/4004103-blb_01021-bp_r01_c09.jpg"",""eik/4004103-blb_01021-bp_r01_c10.jpg"",""eik/4004103-blb_01021-bp_r01_c11.jpg"",""eik/4004103-blb_01021-bp_r01_c12.jpg"",""eik/4004103-blb_01021-bp_r01_c13.jpg"",""eik/4004103-blb_01021-bp_r01_c14.jpg"",""eik/4004103-blb_01021-bp_r01_c15.jpg"",""eik/4004103-blb_01021-bp_r01_c16.jpg"",""eik/4004103-blb_01021-bp_r01_c17.jpg"",""eik/4004103-blb_01021-bp_r01_c18.jpg"",""eik/4004103-blb_01021-bp_r01_c19.jpg"",""eik/4004103-blb_01021-bp_r01_c20.jpg"",""eik/4004103-blb_01021-bp_r01_c21.jpg"",""eik/4004103-blb_01021-bp_r01_c22.jpg"",""eik/4004103-blb_01021-bp_r01_c23.jpg"",""eik/4004103-blb_01021-bp_r01_c24.jpg""}'","[{""Bulb Diameter (in)"" : ""5/8 Inch""}, {""Filament Type"" : ""C8, C8""}, {""Light Output (Lumens)"" : ""1500 Lumen""}, {""Overall Length (in)"" : ""3-5/8 Inch""}, {""Overall Length (mm)"" : ""92mm""}, {""MOL (in)"" : ""3-5/8 Inch""}, {""MOL (mm)"" : ""92mm""}, {""Voltage (V)"" : ""12.8 Volt""}, {""Bulb Diameter (mm)"" : ""17mm""}, {""Base Type"" : ""Axial Prefocus, H4 (P43t38)""}, {""Bulb Family"" : ""T5""}, {""Color"" : ""Clear""}, {""Wattage (W)"" : ""115, 85 Watt""}, {""Amperage (A)"" : ""8.33, 6.66 Amp""}]"
EIK,1027,Bulb; 24 Volt; 70 Watt; H1; T3; P14.5S Base,"'{""eik/01027_p04_fro.jpg""}'","[{""Bulb Diameter (mm)"" : ""8mm""}, {""Voltage (V)"" : ""24 Volt""}, {""Base Type"" : ""P14.5s""}, {""Overall Length (mm)"" : ""67mm""}, {""Bulb Family"" : ""T3""}, {""Overall Length (in)"" : ""2-5/8 Inch""}, {""Amperage (A)"" : ""2.92 Amp""}, {""Light Output (Lumens)"" : ""1900 Lumen""}, {""Bulb Diameter (in)"" : ""5/16 Inch""}, {""Wattage (W)"" : ""70 Watt""}, {""Color"" : ""Clear""}]"
EIK,01027BP,Bulb; Halogen,"'{""eik/01027_p04_fro.jpg"",""eik/4004105-blb_01027-bp_r01_c01.jpg"",""eik/4004105-blb_01027-bp_r01_c02.jpg"",""eik/4004105-blb_01027-bp_r01_c03.jpg"",""eik/4004105-blb_01027-bp_r01_c04.jpg"",""eik/4004105-blb_01027-bp_r01_c05.jpg"",""eik/4004105-blb_01027-bp_r01_c06.jpg"",""eik/4004105-blb_01027-bp_r01_c07.jpg"",""eik/4004105-blb_01027-bp_r01_c08.jpg"",""eik/4004105-blb_01027-bp_r01_c09.jpg"",""eik/4004105-blb_01027-bp_r01_c10.jpg"",""eik/4004105-blb_01027-bp_r01_c11.jpg"",""eik/4004105-blb_01027-bp_r01_c12.jpg"",""eik/4004105-blb_01027-bp_r01_c13.jpg"",""eik/4004105-blb_01027-bp_r01_c14.jpg"",""eik/4004105-blb_01027-bp_r01_c15.jpg"",""eik/4004105-blb_01027-bp_r01_c16.jpg"",""eik/4004105-blb_01027-bp_r01_c17.jpg"",""eik/4004105-blb_01027-bp_r01_c18.jpg"",""eik/4004105-blb_01027-bp_r01_c19.jpg"",""eik/4004105-blb_01027-bp_r01_c20.jpg"",""eik/4004105-blb_01027-bp_r01_c21.jpg"",""eik/4004105-blb_01027-bp_r01_c22.jpg"",""eik/4004105-blb_01027-bp_r01_c23.jpg"",""eik/4004105-blb_01027-bp_r01_c24.jpg""}'","[{""Bulb Diameter (in)"" : ""5/16 Inch""}, {""Light Output (Lumens)"" : ""1900 Lumen""}, {""Bulb Family"" : ""T3""}, {""Wattage (W)"" : ""70 Watt""}, {""Amperage (A)"" : ""2.92 Amp""}, {""Voltage (V)"" : ""24 Volt""}, {""Base Type"" : ""P14.5s""}, {""Color"" : ""Clear""}, {""Bulb Type"" : ""Halogen""}]"
EIK,1154BP,Bulb; 6.4/7 Volt; 2.63/0.75 Amp; Index Base,"'{""eik/1154_p04_fro.jpg"",""eik/4004178-blb_1154-bp_r01_c01.jpg"",""eik/4004178-blb_1154-bp_r01_c02.jpg"",""eik/4004178-blb_1154-bp_r01_c03.jpg"",""eik/4004178-blb_1154-bp_r01_c04.jpg"",""eik/4004178-blb_1154-bp_r01_c05.jpg"",""eik/4004178-blb_1154-bp_r01_c06.jpg"",""eik/4004178-blb_1154-bp_r01_c07.jpg"",""eik/4004178-blb_1154-bp_r01_c08.jpg"",""eik/4004178-blb_1154-bp_r01_c09.jpg"",""eik/4004178-blb_1154-bp_r01_c10.jpg"",""eik/4004178-blb_1154-bp_r01_c11.jpg"",""eik/4004178-blb_1154-bp_r01_c12.jpg"",""eik/4004178-blb_1154-bp_r01_c13.jpg"",""eik/4004178-blb_1154-bp_r01_c14.jpg"",""eik/4004178-blb_1154-bp_r01_c15.jpg"",""eik/4004178-blb_1154-bp_r01_c16.jpg"",""eik/4004178-blb_1154-bp_r01_c17.jpg"",""eik/4004178-blb_1154-bp_r01_c18.jpg"",""eik/4004178-blb_1154-bp_r01_c19.jpg"",""eik/4004178-blb_1154-bp_r01_c20.jpg"",""eik/4004178-blb_1154-bp_r01_c21.jpg"",""eik/4004178-blb_1154-bp_r01_c22.jpg"",""eik/4004178-blb_1154-bp_r01_c23.jpg"",""eik/4004178-blb_1154-bp_r01_c24.jpg""}'","[{""Color"" : ""Clear""}, {""Light Center Length (in)"" : ""1-1/4 Inch""}, {""Industry Number"" : ""1154""}, {""Bulb Type"" : ""Halogen""}, {""Amperage (A)"" : ""0.38, 9.67 Amp""}, {""Wattage (W)"" : ""5.25, 16.83 Watt""}, {""Overall Length (in)"" : ""2 Inch""}, {""Base Type"" : ""BAY15d""}, {""Bulb Family"" : ""S8, DC""}, {""Light Output (Lumens)"" : ""38, 265 Lumen""}, {""Voltage (V)"" : ""6.4, 7 Volt""}]"
EIK,1158,Bulb; Mini,"'{""eik/1158_p04_fro.jpg""}'","[{""Voltage (V)"" : ""6.4 Volt""}, {""Bulb Diameter (mm)"" : ""26mm""}, {""Base Type"" : ""BA15d""}, {""Filament Type"" : ""C6""}, {""Overall Length (in)"" : ""2 Inch""}, {""Average Life (hr)"" : ""200, 1000 Hour""}, {""Wattage (W)"" : ""16.83 Watt""}, {""Bulb Diameter (in)"" : ""1-1/16 Inch""}, {""Light Output (Lumens)"" : ""265 Lumen""}, {""Bulb Family"" : ""S8DC""}, {""Color"" : ""Clear""}, {""Overall Length (mm)"" : ""51mm""}, {""Amperage (A)"" : ""0.38 Amp""}, {""Light Center Length (mm)"" : ""31mm""}]"
EIK,1196,Bulb; Incandescent; Mini; Multi-Purpose,"'{""eik/1196_p04_fro.jpg"",""eik/4004239-blb_1196_r01_c01.jpg"",""eik/4004239-blb_1196_r01_c02.jpg"",""eik/4004239-blb_1196_r01_c03.jpg"",""eik/4004239-blb_1196_r01_c04.jpg"",""eik/4004239-blb_1196_r01_c05.jpg"",""eik/4004239-blb_1196_r01_c06.jpg"",""eik/4004239-blb_1196_r01_c07.jpg"",""eik/4004239-blb_1196_r01_c08.jpg"",""eik/4004239-blb_1196_r01_c09.jpg"",""eik/4004239-blb_1196_r01_c10.jpg"",""eik/4004239-blb_1196_r01_c11.jpg"",""eik/4004239-blb_1196_r01_c12.jpg"",""eik/4004239-blb_1196_r01_c13.jpg"",""eik/4004239-blb_1196_r01_c14.jpg"",""eik/4004239-blb_1196_r01_c15.jpg"",""eik/4004239-blb_1196_r01_c16.jpg"",""eik/4004239-blb_1196_r01_c17.jpg"",""eik/4004239-blb_1196_r01_c18.jpg"",""eik/4004239-blb_1196_r01_c19.jpg"",""eik/4004239-blb_1196_r01_c20.jpg"",""eik/4004239-blb_1196_r01_c21.jpg"",""eik/4004239-blb_1196_r01_c22.jpg"",""eik/4004239-blb_1196_r01_c23.jpg"",""eik/4004239-blb_1196_r01_c24.jpg""}'","[{""Filament Type"" : ""C2V""}, {""Color"" : ""Clear""}, {""Amperage (A)"" : ""3 Amp""}, {""Wattage (W)"" : ""37.5 Watt""}, {""Bulb Family"" : ""RP11DC""}, {""Voltage (V)"" : ""12.5 Volt""}, {""Light Output (Lumens)"" : ""630 Lumen""}, {""Base Type"" : ""BA15d""}]"
EIK,120MB,Bulb,"'{""eik/120mb_p04_fro.jpg"",""eik/4004242-blb_120mb_r01_c01.jpg"",""eik/4004242-blb_120mb_r01_c02.jpg"",""eik/4004242-blb_120mb_r01_c03.jpg"",""eik/4004242-blb_120mb_r01_c04.jpg"",""eik/4004242-blb_120mb_r01_c05.jpg"",""eik/4004242-blb_120mb_r01_c06.jpg"",""eik/4004242-blb_120mb_r01_c07.jpg"",""eik/4004242-blb_120mb_r01_c08.jpg"",""eik/4004242-blb_120mb_r01_c09.jpg"",""eik/4004242-blb_120mb_r01_c10.jpg"",""eik/4004242-blb_120mb_r01_c11.jpg"",""eik/4004242-blb_120mb_r01_c12.jpg"",""eik/4004242-blb_120mb_r01_c13.jpg"",""eik/4004242-blb_120mb_r01_c14.jpg"",""eik/4004242-blb_120mb_r01_c15.jpg"",""eik/4004242-blb_120mb_r01_c16.jpg"",""eik/4004242-blb_120mb_r01_c17.jpg"",""eik/4004242-blb_120mb_r01_c18.jpg"",""eik/4004242-blb_120mb_r01_c19.jpg"",""eik/4004242-blb_120mb_r01_c20.jpg"",""eik/4004242-blb_120mb_r01_c21.jpg"",""eik/4004242-blb_120mb_r01_c22.jpg"",""eik/4004242-blb_120mb_r01_c23.jpg"",""eik/4004242-blb_120mb_r01_c24.jpg""}'","[{""Amperage (A)"" : ""0.025 Amp""}, {""MOL (in)"" : ""1-3/16 Inch""}, {""Base Type"" : ""Miniature Bayonet (BA9s)""}, {""Bulb Family"" : ""T2""}, {""MOL (mm)"" : ""30mm""}, {""Voltage (V)"" : ""120 Volt""}, {""Average Life (hr)"" : ""10000 Hour""}]"
EIK,120PSB5,Bulb,"'{""eik/120psb5.jpg""}'","[{""Amperage (A)"" : ""0.025 Amp""}, {""MOL (in)"" : ""1-1/8 Inch""}, {""Base Type"" : ""Slide Base 5 (TS5)""}, {""MOL (mm)"" : ""28mm""}, {""Average Life (hr)"" : ""10000 Hour""}, {""Bulb Family"" : ""T2""}, {""Voltage (V)"" : ""120 Volt""}]"
EIK,1251,Bulb,"'{""eik/1251_p04_fro.jpg"",""eik/4004246-blb_1251_r01_c01.jpg"",""eik/4004246-blb_1251_r01_c02.jpg"",""eik/4004246-blb_1251_r01_c03.jpg"",""eik/4004246-blb_1251_r01_c04.jpg"",""eik/4004246-blb_1251_r01_c05.jpg"",""eik/4004246-blb_1251_r01_c06.jpg"",""eik/4004246-blb_1251_r01_c07.jpg"",""eik/4004246-blb_1251_r01_c08.jpg"",""eik/4004246-blb_1251_r01_c09.jpg"",""eik/4004246-blb_1251_r01_c10.jpg"",""eik/4004246-blb_1251_r01_c11.jpg"",""eik/4004246-blb_1251_r01_c12.jpg"",""eik/4004246-blb_1251_r01_c13.jpg"",""eik/4004246-blb_1251_r01_c14.jpg"",""eik/4004246-blb_1251_r01_c15.jpg"",""eik/4004246-blb_1251_r01_c16.jpg"",""eik/4004246-blb_1251_r01_c17.jpg"",""eik/4004246-blb_1251_r01_c18.jpg"",""eik/4004246-blb_1251_r01_c19.jpg"",""eik/4004246-blb_1251_r01_c20.jpg"",""eik/4004246-blb_1251_r01_c21.jpg"",""eik/4004246-blb_1251_r01_c22.jpg"",""eik/4004246-blb_1251_r01_c23.jpg"",""eik/4004246-blb_1251_r01_c24.jpg""}'","[{""Color"" : ""Clear""}, {""Light Center Length (mm)"" : ""19mm""}, {""Bulb Diameter (mm)"" : ""19mm""}, {""Base Type"" : ""BA15s""}, {""Light Center Length (in)"" : ""3/4 Inch""}, {""Bulb Diameter (in)"" : ""3/4 Inch""}, {""Overall Length (mm)"" : ""36mm""}, {""Voltage (V)"" : ""28 Volt""}, {""Overall Length (in)"" : ""1-7/16 Inch""}, {""Amperage (A)"" : ""0.23 Amp""}, {""Bulb Family"" : ""G6SC""}, {""Wattage (W)"" : ""6.44 Watt""}, {""Light Output (Lumens)"" : ""38 Lumen""}]"
